etiqueta,sms,origen,special_char_count,exclamation_count,number_count,emoticon_count,message_length,spam_word_count,stop_word_ratio,uppercase_word_count,url_count,mensaje_limpio
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",original,8.0,0.0,0.0,0.0,111.0,0.0,0.2,0.0,0.0,jurong point crazy available bugis great world la buffet cine get amore wat
ham,Ok lar... Joking wif u oni...,original,6.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,ok lar joke wif oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,original,4.0,0.0,6.0,0.0,155.0,2.0,0.1785714285714285,2.0,0.0,free entry number wkly comp win fa cup final tkts 21st number text fa number receive entry questionstd txt ratetcs apply 08452810075over18s
ham,U dun say so early hor... U c already then say...,original,6.0,0.0,0.0,0.0,49.0,0.0,0.1818181818181818,2.0,0.0,dun early hor
ham,"Nah I don't think he goes to usf, he lives around here though",original,0.0,0.0,0.0,0.0,61.0,0.0,0.4615384615384615,1.0,0.0,nah not think go usf live
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",original,4.0,2.0,3.0,0.0,148.0,1.0,0.40625,0.0,0.0,freemsg hey darle number week word like fun tb ok xxx std chgs send numbernumber rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,original,2.0,0.0,0.0,0.0,77.0,0.0,0.4375,0.0,0.0,brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,original,4.0,0.0,1.0,0.0,160.0,0.0,0.3846153846153846,0.0,0.0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press number copy friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,original,6.0,3.0,4.0,0.0,158.0,2.0,0.2692307692307692,2.0,0.0,winner value network customer select receivea number prize reward claim number claim code kl341 valid number hour
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,original,2.0,1.0,2.0,0.0,154.0,3.0,0.3448275862068966,3.0,0.0,mobile number month entitle update late colour mobile camera free mobile update co free number
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",original,2.0,0.0,0.0,0.0,109.0,0.0,0.3333333333333333,0.0,0.0,go to home soon not want talk stuff anymore tonight ve cry today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",original,5.0,1.0,9.0,0.0,136.0,1.0,0.1923076923076923,4.0,0.0,chance win cash number numbernumber pounds txt csh11 send number cost 150pday 6days number tsandc apply reply hl number info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",original,7.0,2.0,8.0,0.0,156.0,2.0,0.3076923076923077,7.0,1.0,urgent win number week free membership numbernumber prize jackpot txt word claim number tc url lccltd pobox 4403ldnw1a7rw18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,original,3.0,0.0,0.0,0.0,196.0,0.0,0.5675675675675675,1.0,0.0,ve search right word thank breather promise will not help grant fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,original,2.0,2.0,0.0,0.0,35.0,0.0,0.625,8.0,0.0,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",original,9.0,0.0,0.0,1.0,149.0,0.0,0.3157894736842105,1.0,2.0,xxxmobilemovieclub use credit click wap link txt message click url xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),original,5.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,oh kim watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,original,5.0,0.0,1.0,0.0,81.0,0.0,0.3157894736842105,0.0,0.0,eh remember number spell yes naughty wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,original,1.0,0.0,0.0,0.0,58.0,0.0,0.3076923076923077,0.0,0.0,fine way feel way gota
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",original,7.0,0.0,8.0,0.0,156.0,0.0,0.125,2.0,0.0,england macedonia not miss goalsteam news txt ur national team number eg england number trywale scotland 4txt1number poboxox36504w45wq number
ham,Is that seriously how you spell his name?,original,1.0,0.0,0.0,0.0,41.0,0.0,0.625,0.0,0.0,seriously spell
ham,IÛ÷m going to try for 2 months ha ha only joking,original,0.0,0.0,1.0,0.0,49.0,0.0,0.2727272727272727,0.0,0.0,go try number month ha ha joke
ham,So Ì_ pay first lar... Then when is da stock comin...,original,6.0,0.0,0.0,0.0,53.0,0.0,0.3636363636363636,1.0,0.0,pay lar da stock comin
